NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
763,*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1C(F)(F)F,365.0,1.0666026,0.9406897,0.90476686,0.9575614,0.8999583
251,*c1cccc(Cc2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,272.0,-0.32690424,-0.5091554,-0.49905407,-0.42593178,-0.46903753
237,*c1ccc(C(=O)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,341.0,0.4910635,0.32928473,0.5324441,0.58901936,0.65155166
82,*N1C(=O)c2cccc3c(-c4ccc5c6c(cccc46)C(=O)N(c4cccc(*)c4)C5=O)ccc(c23)C1=O,450.0,1.355052,2.1074016,2.1632972,2.3774738,2.03034
807,*c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(N4C(=O)c5ccc(C(=O)Oc6ccc(OC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5C4=O)cc3)cc2)cc1,489.0,3.020134,2.860711,2.8521647,2.8587275,3.105968
560,*N1C(=O)c2cccc(-c3cccc4c3C(=O)N(c3ccc(C5(c6ccc(*)c(F)c6)c6ccccc6-c6ccccc65)cc3F)C4=O)c2C1=O,386.4192634,1.2954569,0.7142814,1.170383,1.4433879,0.62146175
32,*N1C(O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(*)cc5C(F)(F)F)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1O,327.0,0.36447826,0.32747507,0.28579742,0.28310758,0.46099263
24,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3cccc(*)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,303.0,-0.06517319,-0.06834203,0.15609474,-0.06268209,0.120690644
153,*N1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,319.0,0.15563704,0.09776981,-0.04288077,0.035864476,0.11934875
315,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(*)cc5)cc3)C4=O)cc2C1=O,330.0,0.30294794,0.2598324,0.38157853,0.23315085,0.43752265
199,*N1C(=O)c2cccc(Sc3cccc4c3C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,293.0,-0.15743904,-0.27240837,-0.07616335,-0.05055953,-0.17185448
43,*N1C(O)c2cc3c(cc2C1O)C(=O)N(c1ccc(Oc2ccc(P(=O)(c4ccccc4)c4ccc(Oc5ccc(*)cc5)cc4)cc2)cc1)C3=O,254.0,-0.9173429,-0.8083878,-0.7247852,-0.6549948,-0.7295905
196,*N1C(=O)c2cccc(Oc3cccc4c3C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)c2C1=O,263.0,-0.6541376,-0.6937238,-0.65030915,-0.57350886,-0.557514
583,*c1ccc(Cc2ccc(N3C(=O)c4ccc(Sc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C(C)(C)C)c2)cc1C(C)(C)C,286.0,-0.31318668,-0.31841278,-0.11143285,-0.25039303,-0.3075757
371,*n1c(=O)c2cc3c(=O)n(-c4ccc(-c5ccc(*)cc5C)c(C)c4)c(=O)c3cc2c1=O,374.0,1.2031351,0.96645254,0.9829965,1.2840763,1.0948721
408,*N1C(=O)c2ccc(C(O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)cc2C1=O,250.0,-0.9421735,-1.0587721,-0.94705987,-0.9264459,-0.2849677
508,*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cn3)nc2)cc1,296.0,-0.2666506,-0.14684382,-0.1507247,-0.07388431,-0.17058685
227,*n1c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc4)c(=O)c3cc2c1=O,287.0,-0.63567656,-0.3041512,-0.45646414,-0.3402518,-0.29451165
638,*C1CC(=O)N(c2c(C)cc(Cc3cc(C)c(N4C(=O)CC(c5c(OC)cc(OCCCOc6cc(OC)c(*)c(OC)c6)cc5OC)C4=O)c(CC)c3)cc2CC)C1=O,192.0,-2.1772485,-1.8914646,-1.695178,-1.6885359,-1.7006361
799,*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c2)cc1C,397.0,1.4714372,1.3502374,1.4454427,1.4276574,1.3675586
367,*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5c(C(F)(F)F)c4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,373.0,1.0498396,0.8570689,0.8502968,0.98320377,1.1463867
745,*c1ccc(-c2ccc(N3Cc4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3)cc2)cc1,395.0,1.8747718,1.5518476,1.6737845,1.4243603,1.6671396
473,*N1C(=O)C2CC3C(=O)N(c4cccc(Oc5ccc(*)cc5)c4)C(=O)C3CC2C1=O,287.8,-0.32373312,-0.25843915,-0.24345598,-0.06913991,-0.1709317
637,*c1c(OC)cc(OCCCOc2cc(OC)c(C3CC(=O)N(c4ccc(Cc5ccc(N6C(=O)CC(*)C6=O)cc5)cc4)C3=O)c(OC)c2)cc1OC,185.0,-2.1201615,-1.9657784,-1.3517687,-1.776649,-1.8221457
240,*c1cccc(C(c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)c1,296.0,-0.10582826,-0.2004815,-0.18734108,-0.05576454,-0.09133597
785,*N1C(=O)C2C(C1=O)C1C(=O)N(C3CCC4C=C(c5nc6cc7c(cc6o5)C5(CC7(C)C)CC(C)(C)c6cc7nc(-c8ccc(N9C(=O)c%10ccc(C(c%11ccc%12c(c%11)C(=O)N(*)C%12=O)(C(F)(F)F)C(F)(F)F)cc%10C9=O)cc8)oc7cc65)C=CC43)C(=O)C21,452.0,2.6619391,2.8330717,2.2817113,2.4587808,2.5051572
