NO,freq,y_true,SMILES,target,elem,mol,SMILES_Kmeans,Bemis_Murcko
1777,3,2.97,*c1ccc(Oc2c(C)cc(Cc3cc(C)c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)c(C)c3)cc2C)cc1,0.00420824,-0.081468746,0.050828062,-0.073177814,-0.08047838
1781,3,2.86,*n1c(=O)c2cc3c(=O)n(-c4ccc(Oc5c(C)cc(C(c6cc(C)c(Oc7ccc(*)cc7)c(C)c6)c6cccc7ccccc67)cc5C)cc4)c(=O)c3cc2c1=O,-0.16958229,-0.11591473,-0.16774468,-0.1507119,-0.13699822
2165,5.05,5.36,*c1ccc(-c2cc(-c3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc(S(C)(=O)=O)c2)cc1,3.6624935,4.327076,3.8376477,3.5400105,3.9815452
1689,6,3.39,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2C(C)(C)C)cc1,0.39257246,0.4771446,0.57705486,0.33313936,0.36283028
1905,5.89,3.88,*CCCN1CCN(CCCN2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,1.4175678,1.3059437,1.4143902,1.200175,1.3057814
218,4,3.23,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5cc(Oc6ccc(*)cc6C(F)(F)F)cc6ccccc56)c(C(F)(F)F)c3)C4=O)cc2C1=O,0.40400177,0.36237085,0.579382,0.46024585,0.24900958
236,6,3.44,*N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5cc(Oc6ccc(*)cc6)cc6ccccc56)cc3)C4=O)cc2C1=O,0.61009926,0.8257395,0.65264165,0.6103519,0.49728084
1686,6,2.82,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6C(F)(F)F)c(C(C)(C)C)c5)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,-0.03289717,0.027548624,0.006449046,0.106439464,-0.034886368
1710,3,2.84,*c1ccc(Oc2ccc(C(=O)c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C)c(C(F)(F)F)c1,-0.22829685,-0.19225252,-0.23544101,-0.1303935,-0.21171625
1722,3,2.93,*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(*)c(=O)c8cc7c6=O)cc5C(F)(F)F)cc4)c4ccccc4-c4ccccc43)cc2)c(C(F)(F)F)c1,-0.10713823,-0.05128447,-0.06683656,-0.07815601,-0.05925089
