NO,freq,y_true,SMILES
1070,3.6,2.64,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(/C(=C\c6ccccc6)c6ccc(-c7ccc(*)cc7)cc6)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
199,3.0,3.08,*N1C(=O)c2ccc(C(C3C=C4C(=O)N(c5cccc(*)c5)C(=O)C4=CC3)(C(F)(F)F)C(F)(F)F)cc2C1=O
137,3.0,3.05,*c1ccc(Oc2cc(C(C)(C)C)c(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2C(C)(C)C)cc1
1777,3.0,2.97,*c1ccc(Oc2c(C)cc(Cc3cc(C)c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)c(C)c3)cc2C)cc1
242,3.0,2.87,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3c(F)c(*)c(C(F)(F)F)c(F)c3F)C4=O)cc2C1=O
1217,3.07,2.7,*n1c(=O)c2cc3c(=O)n(-c4ccc(-c5ccc(/C(=C\c6ccccc6)c6ccc(-c7ccc(*)cc7)cc6)cc5)cc4)c(=O)c3cc2c1=O
419,3.08,2.75,*n1c(=O)c2cc3c(=O)n(-c4ccc(N(c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)c5ccc(-n6c(=O)c7cc8c(=O)n(*)c(=O)c8cc7c6=O)cc5)cc4)c(=O)c3cc2c1=O
619,3.93,3.03,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(-c6ccc(*)cc6)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O
1659,3.0,3.49,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6C(F)(F)F)c(C(C)(C)C)c5)c(C(F)(F)F)c3)C4=O)cc2C1=O
700,3.0,3.16,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(C(c5ccc(C(C)(C)C)cc5)c5ccc(*)c(C(C)(C)C)c5)cc3C(C)(C)C)C4=O)cc2C1=O
1649,3.0,3.05,*N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5cc(C(C)(C)C)c(Oc6ccc(*)cc6)c(C(C)(C)C)c5)c(Cl)c3)C4=O)cc2C1=O
206,3.0,2.07,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C(c6ccc(Oc7ccc(*)cc7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc3)C4=O)(c3c(F)c(F)c(F)c(F)c3F)C(F)(F)F)cc2C1=O
1335,3.0,2.74,*N1C(=O)c2ccc(C(O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc([C@]67C[C@H]8[C@@H]9C[C@@]%10(c%11ccc(Oc%12ccc(*)cc%12)cc%11)C[C@H]8[C@H](C6)[C@@H](C%10)[C@@H]9C7)cc5)cc3)C4=O)cc2C1=O
