NO,SMILES,y_true,label
763,*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1C(F)(F)F,365.0,"*,F"
251,*c1cccc(Cc2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,272.0,*
237,*c1ccc(C(=O)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,341.0,*
82,*N1C(=O)c2cccc3c(-c4ccc5c6c(cccc46)C(=O)N(c4cccc(*)c4)C5=O)ccc(c23)C1=O,450.0,*
807,*c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(N4C(=O)c5ccc(C(=O)Oc6ccc(OC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5C4=O)cc3)cc2)cc1,489.0,*
560,*N1C(=O)c2cccc(-c3cccc4c3C(=O)N(c3ccc(C5(c6ccc(*)c(F)c6)c6ccccc6-c6ccccc65)cc3F)C4=O)c2C1=O,386.4192634,"*,F"
32,*N1C(O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(*)cc5C(F)(F)F)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1O,327.0,"*,F"
24,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3cccc(*)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,303.0,"*,F"
153,*N1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,319.0,*
315,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(*)cc5)cc3)C4=O)cc2C1=O,330.0,"*,S"
199,*N1C(=O)c2cccc(Sc3cccc4c3C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,293.0,"*,S"
43,*N1C(O)c2cc3c(cc2C1O)C(=O)N(c1ccc(Oc2ccc(P(=O)(c4ccccc4)c4ccc(Oc5ccc(*)cc5)cc4)cc2)cc1)C3=O,254.0,"*,P"
