NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
1,*n1c(=O)c2ccc3c(=O)n(-c4ccc(Cc5ccc(*)c(C)c5)cc4C)c(=O)c3c2c1=O,354,-0.8023823,-1.3906605,-1.490308,0.43619376,-1.2893212
2,*n1c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccc(*)c(C)c5)cc4C)c(=O)c3cc2c1=O,274,-0.75058526,-1.3834094,-1.2640357,0.3140378,-1.1400455
3,*n1c(=O)c2ccc3c(=O)n(-c4ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc4)c(=O)c3c2c1=O,292,-0.10641977,0.15585703,-0.21034226,-0.072192475,-0.06759021
4,*n1c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc4)c(=O)c3cc2c1=O,272,-0.141808,0.12751114,-0.2786835,-0.17548104,-0.013095569
5,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(*)cc3)C4=O)cc2C1=O,360,1.0665934,1.0193658,0.98766696,1.0674508,1.1500232
6,*N1C(=O)C2C=CC=C(c3ccc4c(c3)C(=O)N(c3ccc(*)cc3)C4=O)C2C1=O,410,1.7755474,1.9100138,1.7060183,1.8842987,1.8865602
7,*N1C(=O)C2C=CC=C(c3cccc4c3C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)C2C1=O,330,0.48424244,0.6885014,0.30246434,0.5380631,0.48340592
8,*c1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,333,0.39099684,0.6173507,0.4708422,0.69406927,0.66670406
9,*c1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1,300,0.13362429,0.19287795,0.054564275,0.15707381,0.10207775
11,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(*)c3)C4=O)cc2C1=O,261,-0.1460619,0.131912,0.026326142,0.049300626,-0.11031036
